Status,Language,,Dictionaries,Sentence Translation,R-T-L,Parse as:,Character Substitutions,Split Sentences at,Split sentence exceptions,Word Characters,Sample Text (source),Extra Dictionaries,Alternate Names,Font,Scripts,ISO Code
Existing,Afrikaans,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [AFR] [E]
Glosbe [TRM] [P] | Tatoeba [TRM] [P]
Rieme.co.za [TRM] [ENG] [E] 
Redfox [TRM] [ENG] [E]
Verbix [FRM] [E] | Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,[A-Z].|is.|mnr.|dr.|gr.|mev.|prof.|kom.|op.|ek.|Kol.|Ma.|ds.|kapt.|St.|me.|ao.|asb.|dra.|nie.|in.|het.|word.|ens.|bv.|asb.|n.C.|wees.|bl.|v.C.|Kor.|Prof.|o.a.|Joh.|no.,a-zA-ZÉËÏÓÖÜéëïóöüÊêÔô',UDHR | Wikipedia article | News article | Book sample,,,,"Latn, Arab",af
Existing,Albanian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SQI] [E]
Glosbe [TRM] [ENG] [P] | Tatoeba [TRM] [P]
Tradukka [TRM] [ENG] [E]
LingvoSoft [TRM] [ENG] [E]
Seelrc [TRM] [ENG] [E]
Fjalorthi [TRM] [SQI] [E]
FJALE [TRM] [SQI] [E]
Shkenca [TRM] SQI] [E]
Verbix [FRM] [E] | Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,[A-Z].|etj.|të.|Nr.|në.|Dr.|p.sh.|dhe.|për.|me.|red.|p.e.s.|e.s.|d.m.th.,a-zA-ZÇËČĐƏǴŁŃḰR̃ŠÞŽçëčđəǵłńḱr̃šþž',UDHR | Wikipedia article | News article | Book sample,,,,"Latn, Grek, ota-Arab, Elba, Todr, Vith",sq
Existing,Amharic,,"Amharicpro [TRM] [ENG] [E]
AmharicDictionary [TRM] [ENG] [E]
Abyssinica [TRM] [AMH] [MULTILINGUAL] [P]
Wiktionary [TRM] [ENG] [E]
WIktionary [TRM] [AMH] [E]
Glosbe [TRM] [ENG] [P]
Tradukka [TRM] [ENG] [E]
Tatoeba [TRM] [ENG] [P]
Verbix [FRM] [E]","Google Translate [P]
Bing [P]
Yandex [P]
Abyssinica [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!¡?።፧፠፨,[A-Z].|[\u1200-\u1359\u1369-\u137C].|ዓ.ም.|እ.ኤ.አ.|ዓክልበ.|እ.አ.አ.|ኪ.ሜ.|ክ.በ.|እ.ኤ.ኣ.|ዓ.ዓ.|ኤ.አ.|አ.አ.|ወዘተ.|አ.ም.|ምዕ.,\u1200-\u1359\u1369-\u137C,UDHR excerpt | Wikipedia article,,,,Ethi,am
Existing,Arabic,,"Arabic Student's Dictionary [TRM] | Almaany [TRM] [ENG] [E]
Google Translate [TRM] [ENG] | Reverso [TRM] [ENG] [E]
Glosbe [TRM] [ENG] [P] | Wiktionary (General/MSA) [TRM]
Wiktionary Varieties [TRM] [ENG] [E]:
(S. Levantine) (Moroccan) (Hijazi) (Egyptian) (Gulf)
(Cypriot) (N. Levantine) (Libyan) (Iraqi) (Mozarabic)
(Tunisian) (Chadian) (Algerian) (Andalusian) (Najdi)
(Sudanese) (Yemeni) (Juba) (Omani)
(N. Mesopotamian) (Baharna) (Dhofari)
Wiktionary [TRM] [ARA] [E] | Al-Riyadh [TRM] [ARA] [E]
Reverso Conjugator [FRM] [P]
Tatoeba [FRM] [ENG] [P]","Google Translate
DeepL Translator
Reverso",TRUE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?؟۔‎,د.|م.|أ.|ع.|أ.د.|ح.|ب.|ج.|س.|ل.ل.|ش.|ن.|ف.|ل.|ي.|خ.|ر.|ا.|غ.|ك.,\u0600-\u06FF\uFE70-\uFEFC,,,"Standard Arabic, Literary Arabic, High Arabic, Modern Standard Arabic, Classical Arabic, Judeo-Arabic",,"Arab, Hebr, Syrc, Brai",ar
Existing,Armenian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [HYE] [E]
Nayiri [TRM] [ENG] [E] | Nayiri [HYE] [E]
Calfa [TRM] [E]
Glosbe [TRM] [ENG] [P]
Bararanonline [TRM] [HYE] [E]
Verbix [FRM] [E]
Tatoeba [TRM] [P]","Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,։՜՛՞,[A-Z]|[\u0531-\u0556\u0561-\u0588].|մ.թ.ա.|դր.|Հ.Գ.|Ն.Ս.Օ.Տ.Տ.|ս.թ.|Ս.թ.|են.|համար.|մասին.|հետ.,\u0531-\u0556\u0561-\u0588,UDHR (Wikipedia) | Book sample | Story sample,https://library.anau.am/images/stories/grqer/bararanner/Baratyan.pdf,"Modern Armenian, Eastern Armenian, Western Armenian",,"Armn, Brai",hy
Existing,Azerbaijani,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [AZE] [E]
Tatoeba [TRM] [P]
Verbix [FRM] [E] | Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]
Bing [E]
Promt [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,və i.a.|və s.|Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑğĞıİöÖüÜşŞçÇƏəƢƣЬьIiƵƶꞐꞑƟɵАаБбҸҹЧчДдЭэӘәФфҜҝҒғҺһХхЫыИиЖжКкГгЛлМмНнОоӨөПпРрСсШшТтУуҮүВвЙйЗзЕеЈј',UDHR | Wikipedia article | News article | Book sample (A) (B),,"Azeri, Azari, Azeri Turkic, Azerbaijani Turkic, North Azerbaijani, South Azerbaijani, Afshar, Afshari, Afshar Azerbaijani, Afchar, Qashqa'i, Qashqai, Kashkay, Sonqor",,"Latn, Cyrl, fa-Arab",az
Existing,Basque,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [EUS] [E]
Glosbe [TRM] [ENG] [P]
Morris [TRM] [ENG] [E]
Elhuyar Hiztegia [TRM] [ENG] [E]
Euskaltzaindia [TRM] [EUS] [SPA] [E]
Elhuyar Hiztegia [TRM] [SPA] [E]
Labayru [TRM] [SPA] [P]
Euskaltzaindia [TRM] [SPA] [FRE] [E]
Tatoeba Sentences [TRM] [P]
Verbix [FRM] [E]
Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]
Bing [E]
Euskadi [E]
Elia [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,etab.|Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.|K.a.|J.|I.|K.|A.|V.|M.|a.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑÇç',UDHR | Wikipedia article | News article | Book sample,,Euskara,,Latn,eu
Existing,Belarusian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [BEL] [E]
Glosbe [TRM] [ENG] [P]
Tatoeba [TRM] [P]
Verbix [FRM] [E]","Google Translate [P]
Yandex [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,гл.|ст.|пач.|т.л.|г.д.|г.|тыс.,A-Za-zА-Яа-яІіЎўҐґ',UDHR | Wikipedia article | Book sample,,"Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian",,"Cyrl, Latn",be
Existing,Bengali,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [BEN] [E]
Combined Bengali Dictionaries [TRM] [ENG] [BEN] [E]
English-Bangla.com [TRM] [ENG] [E]
Glosbe [TRM] [ENG] [P]
Shabkosh [TRM] [BEN] [E]
English-Bangla.com [TRM] [BEN] [E]
Khandbahale [TRM] [ENG] [P]
Trex [TRM] [P] | Tatoeba [TRM] [ENG] [P]","Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?।॥,ড.|সা.|ক.|গ.|খ.|ও.|ঘ.|করে.|জন্য.|এ.|আ.|না.|করতে.|রা.|স.|হবে.|থেকে.|এবং.|এক.,\u0980-\u09FF,Wikipedia article | Book sample,,Bangla,,"Beng, Newa",bn
Existing,Breton,,"Geriafurch [TYPE] [FRA] [E]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [BRE] [E]
Portail numérique de la langue bretonne [TYPE] [FRA]
Devri [TYPE] [E] | Glosbe [TYPE] [ENG] [P]
Tatoeba [TRM] [P] | Verbix [FRM] [E]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?।,all.|bed.|holl.|bras.|get.|mor.|su.|..|kg.|Su.|se.|mat.|cm.|ger.|ren.|m.|int.|fin.|Stad.|km.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article | Sample book,,"Gwenedeg, Vannetais, Kerneveg, Cornouaillais, Leoneg, Léonard, Tregerieg, Trégorrois",,Latn,br
Existing,Bulgarian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [BUL] [E]
Linguee [TRM] [ENG] [E] | Pons [TRM] [ENG] [P]
Rechnik [TRM] [ENG] [E] | Lingea [TRM] [ENG] [E]
Glosbe [TRM] [ENG] [P]
Tradukka [TRM] [ENG] [E]
Sensagent [TRM] [ENG] [E]
Talkoven [TRM] [BUL] [E]
Institute for Bulgarian Language [TRM] [BUL] [E]
Rechnik [TRM] [BUL] [E]
T-Rechnik [TRM] [BUL] [E]
Chitanka [TRM] [BUL] [E]
Tatoeba [TRM] [P] | Verbix [FRM] [E]","DeepL Translator [P]
Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,г.|ж.|и т.н.|изд.|мн.|ч.|мн. ч.|прен.|прил.|съчет.,А-Яа-яa-zA-ZЁёЪ̀ъ̀ЍѝXxИ́и́',UDHR | Wikipedia article | News article | Book sample,,,,Cyrl,bg
Existing,Catalan,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [CAT] [E]
Diccionaris.cat [TRM] [P]
Glosbe [TRM] [ENG] [P]
dict.com [TRM] [E] | GDLC [TRM] [CAT] [P]
Diec2 [TRM] [CAT] [P] | Tatoeba [TRM] [P]
Diccionari de sinònims [TRM] [CAT] [E]
Verbix [FRM] [E]
Verbix nouns [FRM] [E]
Verbix adjectives [FRM] [E]
 | Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]
Bing [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,dc.|dg.|dir.|dj.|dl.|ds.|dt.|dv.|p.e.|p. e.|p.ex.|p. ex|St.|Sta.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ·',UDHR | Wikipedia article | Book sample,,,,Latn,ca
Existing,Croatian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [HRV] [E]
Lingea [TRM] [ENG] [P]
Glosbe [TRM] [ENG] [P]
Eudict [TRM] [ENG] [P]
Hrvatski jezični [TRM] [HRV] [P]
Školski rječnik hrvatskoga jezika [TRM] [HRV] [E]
Žargonaut (Slang) [TRM] [HRV] [E]
Jezikoslovac [TRM] [HRV] [E]
Online rječnik [TRM] [ENG] [E]
Tradukka [TRM] [ENG] [E]
Tatoeba [TRM] [ENG] [P]
Crodict Nouns [FRM] [E]
Crodict Verbs [FRM] [E]
Verbix [FRM] [E]","Google Translate [P]
Bing [P]
Yandex [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,tj.|pne.|tzv.|p.|I.|m.|npr.|st.|A.|M.|J.|g.|god.|S.|II.|V.|H.|P.|n.|C.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ,"UDHR (B-C), (B-L), (C-L), (M-L), (S-C), (S-L)

Book sample 1 [S] | Book sample 2 [C]","Crodict (HRV) [TRM] [DEU] [E]
Mreznik (HRV)
Pravopis (HRV)
Yak.net (HRV)","BCS, Croato-Serbian, Serbocroatian, Bosnian, Croatian, Montenegrin, Serbian, Shtokavian",,"Latn, Cyrl, Glag",sh
Existing,Czech,,"Lingea [TRM] [ENG] [E] | Glosbe [TRM] [ENG] [P]
Seznam.cz [TRM] [ENG] [P] | Bab.la [TRM] [ENG] [E]
Wiktionary [TRM] [ENG] [E] | Wiktionary [TRM] [CES] [E]","Deepl [P] 
Goggle Translate [P]
Reverso [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|korun.|tzv.|II.|pozn.|např.|III.|red.|sv.|St.|I.|č.|J.|K.|spol.|mj.|N.|T.|B.|H.|O.|,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ,,,,,Latn,cs
Existing,Danish,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [DAN] [E]
Ord.dk [TRM] [ENG] [E]
Ord.dk [TRM] [DAN] [E]
Sproget [TRM] [DAN] [E]
Glosbe [TRM] [ENG] [P]
Trex [TRM] [P] | Bab.la [TRM] [P]
Linguee [TRM] [E] | Den Danske Ordbog [TRM] [P]
Tatoeba [TRM] [P] | Den Store Danske [TRM] [P]
Verbix [FRM] [E]
Verbix nouns [FRM] [E]
| Cooljugator [FRM] [E]","DeepL Translator [P]
Google Translate [P]
Yandex [P]
Bing [E]
Reverso [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,alm.|ang.|beg.|bet.|bio.|bl.a.|ca.|d.|d. v. s.|d.s.|d.s.s.|d.v.s.|dr.|dvs.|e.Kr.|egl.|el.|el.lign.|ell.|etc.|evt.|f.eks.|f.Kr.|fhv.|fr.|frk.|hhv.|if.|iflg.|jf.|jfr.|kgl.|kl.|knsp.|kr.|kvm.|m.|m.a.o.|mht.|mia.|min.|mio.|ml.|mv.|mvh.|ndf.|no.|nr.|o.a.|ogs.|osv.|pga.|pr.|rdlr.|resp.|self.|sj.|Skt.|sml.|spec.|t.h.|t.v.|t.o.m.|u.|udg.|vedr.|vha.|,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article | Book sample,,,,Latn,da
Existing,Dutch,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [NLD] [E]
Mijnwoordenboek [TYPE] [E]
Van Dale [TYPE] [P]
Cambridge Dictionary [TRM] [P]
Glosbe [TRM] [ENG] [P]
Bab.la [TRM] [P] | Trex [TRM] [P]
Vandale [TRM] [NDL] [P]
Reverso [TRM] [P] | Linguee [TRM] [E]
Tatoeba [TRM] [P] | Verbix [FRM] [E]
Verbix nouns [FRM] [E]
Verbix adjectives [FRM] [E]
Cooljugator [FRM] [E]","DeepL Translator [P]
Google Translate [P]
Yandex [P]
Bing [E]
Reverso [E]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,mr.|mevr.|prof.|dhr.|drs.|Zr.|H.r|Hr.|Zr.|H.M.|Zr.Ms|n. Chr.|n.Chr.|v. CHr.|St.|a.j.b.|a.u.b|o.a.|o.m.|o.v.v.|p.r.|a.h.w.|nl.|o.s.|no.|nr.|m.b.t.|m.n.|m.i.|m.u.v|m.i.v.|m.a.w.|iem.|a.m|a.s.|i.i.g.|inz.|enz.|evt.|b. v.|bijv.|bv.|c.q.|ca.|d.i.|d.m.v|d.o.|E.|Ed.|Edt.|E.s|e.d.|t.g.v.|t.w.|v.|verg.|versch.|vgl.|vnl.|ws.|wrschl.|wsch.|,a-zA-ZÉËÏÓÖÜéëïóöüç',UDHR | Wikipedia article | Book sample,,"Netherlandic, Flemish",,"Latn, Brai",nl
Existing,English,,"The Free Dictionary [TRM] [ENG]
Wiktionary [TRM] [ENG] [E]
Simple English Wiktionary [TRM] [ENG] [E]
OALD [TRM] [ENG] [P]
Longman [TRM] [ENG] [P]
Merriam-Webster [TRM] [ENG]
Cambridge [TRM] [ENG]
Britannica [TRM] [ENG] [E]
Reverso Conjugator [FRM] [P]
Scholingua [FRM] [P]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.|U.S.|St.|No.|pp.|Jr.|p.m.|a.m.|Inc.|Gov.|Rep.|Ms.|Sen.|in.|Co.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ,,,"Modern English, New English, Polari, Yinglish",,"Latn, Brai, Shaw, Dsrt",en
Existing,Esperanto,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [EPO] [E]
Vortaro [TRM] [EPO] [E]
dict.cc [TRM] [E] | Glosbe [TRM] [ENG] [P]
Bab.la [TRM] [P] | Lernu [TRM] [ENG] [P]
Tatoeba [TRM] [P]
Verbix [FRM] [E] | Cooljugator [FRM] [E]","Google Translate [P]
Yandex [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥|ç=ĉ|û=ŭ|î=ĵ|Ç=Ĉ|Û=Ŭ|Î=Ĵ,.!?,ekz.|ĉ.|bv.|atm.|a.t.m.|ptm.|p.t.m.|a.K.|Ak.|eld.|j.|jc.|k.c.|kp.|m.|m.m.|n.|n.b.|resp.,a-zA-ZĈĜĤĴŜŬĉĝĥĵŝŭ',UDHR | Wikipedia article | Book sample (A) (B),,,,Latn,eo
Existing,Estonian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [EST] [E]
Glosbe [TRM] [P]
Lingea [TRM] [E]
Eki [TRM] [E]
Aare [TRM] [E]
Linguee [TRM] [E]
EKSS [TRM] [EST] [E]
Tatoeba [TRM] [P]
Verbix [FRM] [E]
Cooljugator [FRM] [E]","Google Translate [P]
DeepL [P]
Yandex [P]
Bing [E]
Promt [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,puhul.|toim.|A.|jne.|ilm.|J.|arv.|H.|lood.|K.|R.|jt.|N.|nn.|K.R.|E.|Mr.|P.|M.|kunst.|3.-4.,a-zA-ZŠšŽžÕõÄäÖöÜü',UDHR | Wikipedia article | News article | Book sample,,,,Latn,et
Existing,Finnish,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [FIN] [E]
Dictionary Pro [TYPE] [E]
Glosbe [TRM] [P]
Trex [TRM] [P]
Bab.la [TRM] [P]
Linguee [TRM] [E]
Tatoeba [TRM] [P]
Verbix [FRM] [E]
Verbix nouns [FRM] [E]
Cooljugator verbs [FRM] [E]
Cooljugator adjectives [FRM] [E]
Cooljugator nouns [FRM] [E]","DeepL [P]
Google Translate [P]
Yandex [P]
Bing [E]
Promt [P]",FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,aik.|alk.|alv.|ao.|ap.|dipl.ins.|eaa.|eKr.|elok.|em.|engl.|ent.|erit.|esim.|heinäk.|helmik.|huhtik.|ip.|jaa.|jKr.|jne.|joht.|Joos.|jouluk.|k.|ka.|kans.ed.|Kesk.|kesäk.|ko.|kok.|Kork. v.|ks.|kys.|l.|lat.|Laul. l.|lis.|lk.|lkm.|ll.|lokak.|lyh.|ma.|maalisk.|mahd.|marrask.|Matt.|miel.|milj.|mlk.|mon.|mrd.|myöh.|n.|nimim.|ns.|nyk.|oik.|ovh.|par.|pj.|pl.|ps.,a-zA-ZÅåÄäÖöŠšŽž',UDHR | Wikipedia article | News article | Book sample,,Suomi,,Latn,fi
